id,seksiId,nama,keterangan,urutan,punyaFieldData,isActive,createdAt,updatedAt
10bc0854-82c8-531e-b551-7ccc6cb80d63,59a53993-6cd4-5f28-8477-0afd365ea739,Kepondokmodernan,,0,false,true,2026-03-29 03:26:07,2026-03-29 03:26:07
4a7b749a-bdcb-5505-acc8-bbf69028de0f,59a53993-6cd4-5f28-8477-0afd365ea739,Dedikasi,,1,false,true,2026-03-29 03:26:07,2026-03-29 03:26:07
9db33a87-2418-5510-9cc7-c2fd85283e86,59a53993-6cd4-5f28-8477-0afd365ea739,Kedermawanan,,2,false,true,2026-03-29 03:26:07,2026-03-29 03:26:07
f3f1ae71-f302-5f2e-bb20-41869f87258a,59a53993-6cd4-5f28-8477-0afd365ea739,Inisiatif,,3,false,true,2026-03-29 03:26:07,2026-03-29 03:26:07
6c4a7127-6510-5237-b2b6-23f7ac40a233,59a53993-6cd4-5f28-8477-0afd365ea739,Komunikasi,,4,false,true,2026-03-29 03:26:07,2026-03-29 03:26:07
57f2af36-df06-5092-a62a-b51027ec5f3d,59a53993-6cd4-5f28-8477-0afd365ea739,Daya Tanggap,,5,false,true,2026-03-29 03:26:07,2026-03-29 03:26:07
2a3ae7bc-3338-5dd4-9da1-d683dea1094e,59a53993-6cd4-5f28-8477-0afd365ea739,Ketaatan,,6,false,true,2026-03-29 03:26:07,2026-03-29 03:26:07
71b56089-0b7e-5f7d-8b0e-1c099bf5366f,59a53993-6cd4-5f28-8477-0afd365ea739,Kepemimpinan,,7,false,true,2026-03-29 03:26:07,2026-03-29 03:26:07
2995a7f8-af5d-5725-89d8-7c0a098ed885,59a53993-6cd4-5f28-8477-0afd365ea739,Motivasi / Kemauan,,8,false,true,2026-03-29 03:26:07,2026-03-29 03:26:07
b4b0d76b-e2ba-5cb7-b279-796ec9a00dde,59a53993-6cd4-5f28-8477-0afd365ea739,Kesehatan,,9,false,true,2026-03-29 03:26:07,2026-03-29 03:26:07
13f25606-076d-558b-b49f-b0e14c8f4213,59a53993-6cd4-5f28-8477-0afd365ea739,Disiplin,,10,false,true,2026-03-29 03:26:07,2026-03-29 03:26:07
5e7a8ca3-cf85-57d9-9d12-9c6aed6a00f7,59a53993-6cd4-5f28-8477-0afd365ea739,Ibadah Sholat Berjama'ah,,11,false,true,2026-03-29 03:26:07,2026-03-29 03:26:07
